sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ae_a,ae_b,delta_ae,pred_a,pred_b
[emim]__[OTf]__R125__303.15__0.3126,327,327,[emim],[OTf],R125,303.15,0.3126,0.0938,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.004389819999999989,0.0010409349999999928,0.003348884999999996,0.08941018,0.092759065
[emim]__[PF6]__R23__332.9__0.04997,331,331,[emim],[PF6],R23,332.9,0.04997,0.003,F[P-](F)(F)(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.008106527999999998,0.004217966,0.003888561999999998,0.011106528,0.007217966
[emim]__[PF6]__R23__347.9__0.69933,343,343,[emim],[PF6],R23,347.9,0.69933,0.04,F[P-](F)(F)(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.0007593600000000006,0.002389633000000002,-0.0016302730000000015,0.03924064,0.037610367
[emim]__[PFBS]__R32__303.15__0.2709,353,353,[emim],[PFBS],R32,303.15,0.2709,0.1983,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.007087060000000006,0.009327269999999999,-0.0022402099999999925,0.20538706,0.20762727
[emim]__[PFBS]__R134a__303.15__0.3134,367,367,[emim],[PFBS],R134a,303.15,0.3134,0.329,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.00967492999999997,0.021245599999999976,-0.011570670000000005,0.33867493,0.3502456
[emim]__[PFBS]__R125__303.15__0.2241,375,375,[emim],[PFBS],R125,303.15,0.2241,0.1606,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.002788059999999981,0.013315119999999986,-0.010527060000000005,0.15781194,0.14728488
[emim]__[PFP]__R32__303.15__0.0402,381,381,[emim],[PFP],R32,303.15,0.0402,0.0315,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.013557079999999999,0.013241888,0.00031519199999999886,0.04505708,0.044741888
[emim]__[PFP]__R134a__303.15__0.0852,390,390,[emim],[PFP],R134a,303.15,0.0852,0.1045,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.003084664000000001,0.00987629000000001,-0.006791626000000009,0.101415336,0.11437629
[emim]__[PFP]__R125__303.15__0.0245,399,399,[emim],[PFP],R125,303.15,0.0245,0.0266,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.023951165000000003,0.014868874000000004,0.009082291,0.050551165,0.041468874
[emim]__[SCN]__R32__293.15__0.073,412,412,[emim],[SCN],R32,293.15,0.073,0.0223,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.000466649999999999,0.006360014000000001,-0.005893364000000002,0.02276665,0.028660014
[emim]__[SCN]__R32__303.15__0.2303,419,419,[emim],[SCN],R32,303.15,0.2303,0.0557,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.004441050000000002,0.006968316000000002,-0.0025272660000000002,0.06014105,0.062668316
[emim]__[SCN]__R134a__303.15__0.0683,439,439,[emim],[SCN],R134a,303.15,0.0683,0.0102,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.008048073999999999,0.010389076,-0.0023410020000000017,0.018248074,0.020589076
[emim]__[SCN]__R134a__303.15__0.1513,440,440,[emim],[SCN],R134a,303.15,0.1513,0.0228,[S-]C#N,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.008796894999999999,0.013073357,-0.004276462000000002,0.031596895,0.035873357
[emim]__[Tf2N]__R32__283.15__0.7004,459,459,[emim],[Tf2N],R32,283.15,0.7004,0.672,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.030844700000000058,0.04515340000000001,-0.014308699999999952,0.6411553,0.6268466
[emim]__[Tf2N]__R32__298.15__0.2502,463,463,[emim],[Tf2N],R32,298.15,0.2502,0.218,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.0071185,0.004333709999999991,0.002784790000000009,0.2108815,0.21366629
[emim]__[Tf2N]__R32__323.15__0.0102,469,469,[emim],[Tf2N],R32,323.15,0.0102,0.005,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.015101319999999998,0.01637126,-0.0012699400000000007,0.02010132,0.02137126
[emim]__[Tf2N]__R32__348.05__0.8504,483,483,[emim],[Tf2N],R32,348.05,0.8504,0.254,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.003305149999999979,0.014135129999999996,-0.010829980000000017,0.25730515,0.26813513
[emim]__[Tf2N]__R32__303.15__0.447,499,499,[emim],[Tf2N],R32,303.15,0.447,0.2948,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.00809909999999997,0.0015839799999999848,0.006515119999999985,0.3028991,0.29638398
[emim]__[Tf2N]__R32__303.15__0.148,507,507,[emim],[Tf2N],R32,303.15,0.148,0.105,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.005632640000000008,0.009810680000000002,-0.004178039999999994,0.11063264,0.11481068
[emim]__[Tf2N]__R32__303.15__0.185,508,508,[emim],[Tf2N],R32,303.15,0.185,0.126,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.01358490000000001,0.020523970000000002,-0.006939069999999992,0.1395849,0.14652397
[emim]__[Tf2N]__R23__298.1__0.0995,511,511,[emim],[Tf2N],R23,298.1,0.0995,0.031,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.010223254000000001,0.0046927800000000006,0.0055304740000000005,0.041223254,0.03569278
[emim]__[Tf2N]__R23__298__0.5025,524,524,[emim],[Tf2N],R23,298.0,0.5025,0.152,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.014606990000000014,0.010538750000000013,0.004068240000000001,0.16660699,0.16253875
[emim]__[Tf2N]__R23__323.2__0.9999,532,532,[emim],[Tf2N],R23,323.2,0.9999,0.187,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.006851550000000012,0.008767990000000003,-0.0019164399999999915,0.18014845,0.17823201
[emim]__[Tf2N]__R23__323.1__0.9996,540,540,[emim],[Tf2N],R23,323.1,0.9996,0.189,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.008627259999999998,0.010512309999999997,-0.0018850499999999992,0.18037274,0.17848769
[emim]__[Tf2N]__R23__303.17__0.1028,548,548,[emim],[Tf2N],R23,303.17,0.1028,0.02781,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)F,Table S3. VLE HFCs,0.012832455,0.008388119999999999,0.004444335000000001,0.040642455,0.03619812
[emim]__[Tf2N]__R152a__298.2__0.15,561,561,[emim],[Tf2N],R152a,298.2,0.15,0.243,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.0030419799999999997,0.006262320000000016,-0.003220340000000016,0.23995802,0.24926232
[emim]__[Tf2N]__R152a__298.2__0.175,562,562,[emim],[Tf2N],R152a,298.2,0.175,0.28,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.0018765000000000032,0.012832549999999998,-0.010956049999999995,0.2781235,0.29283255
[emim]__[Tf2N]__R152a__298.2__0.3,579,579,[emim],[Tf2N],R152a,298.2,0.3,0.45,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.0038598300000000085,0.025620929999999986,-0.021761099999999978,0.44614017,0.47562093
[emim]__[Tf2N]__R152a__298.2__0.275,580,580,[emim],[Tf2N],R152a,298.2,0.275,0.417,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.0013835199999999714,0.026334280000000043,-0.024950760000000072,0.41561648,0.44333428
[emim]__[Tf2N]__R152a__298.2__0.225,582,582,[emim],[Tf2N],R152a,298.2,0.225,0.35,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.0005002600000000301,0.01928576000000004,-0.01878550000000001,0.35050026,0.36928576
[emim]__[Tf2N]__R134__283.2__0.05,592,592,[emim],[Tf2N],R134,283.2,0.05,0.246,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.01587517999999999,0.059691419999999995,-0.043816240000000006,0.26187518,0.30569142
[emim]__[Tf2N]__R134__298.2__0.0099,598,598,[emim],[Tf2N],R134,298.2,0.0099,0.033,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.047468289999999996,0.06688525,-0.019416959999999997,0.08046829,0.09988525
[emim]__[Tf2N]__R134__348.1__0.2996,620,620,[emim],[Tf2N],R134,348.1,0.2996,0.2189999999999999,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.003931390000000007,0.01852915999999999,-0.014597769999999982,0.22293139,0.23752916
[emim]__[Tf2N]__R134a__323.1__0.0103,638,638,[emim],[Tf2N],R134a,323.1,0.0103,0.008,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.013096420000000001,0.01846964,-0.005373219999999998,0.02109642,0.02646964
[emim]__[Tf2N]__R134a__298__0.335,661,661,[emim],[Tf2N],R134a,298.0,0.335,0.3992,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.009559150000000016,0.024744529999999987,-0.01518537999999997,0.40875915,0.42394453
[emim]__[Tf2N]__R134a__298__0.444,663,663,[emim],[Tf2N],R134a,298.0,0.444,0.5228,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0003390599999999466,0.007455559999999917,-0.00711649999999997,0.52313906,0.53025556
[emim]__[Tf2N]__R134a__298__0.537,665,665,[emim],[Tf2N],R134a,298.0,0.537,0.6344,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.02950702999999999,0.032154000000000016,-0.0026469700000000262,0.60489297,0.602246
[emim]__[Tf2N]__R134a__323__0.166,671,671,[emim],[Tf2N],R134a,323.0,0.166,0.1055,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0004486999999999963,0.010914435,-0.010465735000000004,0.1050513,0.116414435
[emim]__[Tf2N]__R134a__348__0.051,684,684,[emim],[Tf2N],R134a,348.0,0.051,0.0087,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.014717793,0.019547349000000002,-0.004829556000000002,0.023417793,0.028247349
[emim]__[Tf2N]__R134a__348__1.399,698,698,[emim],[Tf2N],R134a,348.0,1.399,0.4722,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0034787699999999644,0.017424620000000002,-0.013945850000000037,0.47567877,0.48962462
[emim]__[Tf2N]__R134a__303__0.099831,703,703,[emim],[Tf2N],R134a,303.0,0.099831,0.11688,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.013917946,0.012936379999999997,0.0009815660000000032,0.102962054,0.10394362
[emim]__[Tf2N]__R134a__303.15__0.0599,709,709,[emim],[Tf2N],R134a,303.15,0.0599,0.07,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.005441280000000007,0.005171460000000003,0.00026982000000000395,0.06455872,0.06482854
[emim]__[Tf2N]__R134a__303.15__0.068,722,722,[emim],[Tf2N],R134a,303.15,0.068,0.076,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.004700045,0.004186849999999992,0.000513195000000008,0.071299955,0.07181315
[emim]__[Tf2N]__R134a__303.15__0.097,723,723,[emim],[Tf2N],R134a,303.15,0.097,0.105,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.005520549999999999,0.004562609999999995,0.0009579400000000043,0.09947945,0.10043739
[emim]__[Tf2N]__R125__348.1__0.2998,756,756,[emim],[Tf2N],R125,348.1,0.2998,0.05,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.010439339999999998,0.01254189,-0.0021025500000000016,0.06043934,0.06254189
[emim]__[Tf2N]__R125__348.2__0.7998,760,760,[emim],[Tf2N],R125,348.2,0.7998,0.14,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.0010715900000000111,0.007413069999999994,-0.006341479999999983,0.13892841,0.14741307
