sample_id,npy_idx,cation,anion,refrigerant,T_K,P_MPa,x1,pair,split_composite,split_star
[emim]__[BEI]__R32__298.15__0.8503,43,[emim],[BEI],R32,298.15,0.8503,0.603,EMIM__BEI,val,train
[emim]__[BEI]__R32__298.15__1.0005,44,[emim],[BEI],R32,298.15,1.0005,0.672,EMIM__BEI,train,train
[emim]__[BEI]__R32__323.15__0.01,45,[emim],[BEI],R32,323.15,0.01,0.004,EMIM__BEI,train,val
[emim]__[BEI]__R32__323.15__0.0997,46,[emim],[BEI],R32,323.15,0.0997,0.059,EMIM__BEI,train,train
[emim]__[BEI]__R32__323.15__0.2497,47,[emim],[BEI],R32,323.15,0.2497,0.146,EMIM__BEI,train,val
[emim]__[BEI]__R32__323.15__0.3996,48,[emim],[BEI],R32,323.15,0.3996,0.221,EMIM__BEI,train,val
[emim]__[BEI]__R32__323.15__0.5495,49,[emim],[BEI],R32,323.15,0.5495,0.288,EMIM__BEI,train,train
[emim]__[BEI]__R32__323.15__0.6995,50,[emim],[BEI],R32,323.15,0.6995,0.348,EMIM__BEI,train,train
[emim]__[BEI]__R32__323.15__0.8504,51,[emim],[BEI],R32,323.15,0.8504,0.4029999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R32__323.15__0.9993,52,[emim],[BEI],R32,323.15,0.9993,0.4539999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.0101,53,[emim],[BEI],R32,348.05,0.0101,0.001,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.15__0.1,54,[emim],[BEI],R32,348.15,0.1,0.038,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.2501,55,[emim],[BEI],R32,348.05,0.2501,0.095,EMIM__BEI,val,train
[emim]__[BEI]__R32__348.05__0.3992,56,[emim],[BEI],R32,348.05,0.3992,0.147,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.5496,57,[emim],[BEI],R32,348.05,0.5496,0.196,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.6996,58,[emim],[BEI],R32,348.05,0.6996,0.241,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.8504,59,[emim],[BEI],R32,348.05,0.8504,0.283,EMIM__BEI,train,train
[emim]__[BEI]__R32__348.05__0.9994,60,[emim],[BEI],R32,348.05,0.9994,0.321,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.149__0.01,61,[emim],[BEI],R134,283.149,0.01,0.039,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.123__0.05,62,[emim],[BEI],R134,283.123,0.05,0.236,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.132__0.1,63,[emim],[BEI],R134,283.13199999999995,0.1,0.43,EMIM__BEI,val,train
[emim]__[BEI]__R134__283.149__0.15,64,[emim],[BEI],R134,283.149,0.15,0.584,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.123__0.2,65,[emim],[BEI],R134,283.123,0.2,0.708,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.149__0.25,66,[emim],[BEI],R134,283.149,0.25,0.823,EMIM__BEI,train,train
[emim]__[BEI]__R134__283.192__0.3,67,[emim],[BEI],R134,283.19199999999995,0.3,0.98,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.212__0.01,68,[emim],[BEI],R134,298.212,0.01,0.038,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.154__0.05,69,[emim],[BEI],R134,298.154,0.05,0.169,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.154__0.1,70,[emim],[BEI],R134,298.154,0.1,0.305,EMIM__BEI,train,val
[emim]__[BEI]__R134__298.187__0.15,71,[emim],[BEI],R134,298.18699999999995,0.15,0.417,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.128__0.2,72,[emim],[BEI],R134,298.128,0.2,0.518,EMIM__BEI,val,train
[emim]__[BEI]__R134__298.145__0.25,73,[emim],[BEI],R134,298.145,0.25,0.606,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.229__0.3,74,[emim],[BEI],R134,298.229,0.3,0.677,EMIM__BEI,train,train
[emim]__[BEI]__R134__298.103__0.35,75,[emim],[BEI],R134,298.10299999999995,0.35,0.735,EMIM__BEI,train,val
[emim]__[BEI]__R134__323.148__0.011,76,[emim],[BEI],R134,323.148,0.011,0.019,EMIM__BEI,train,train
[emim]__[BEI]__R134__323.173__0.05,77,[emim],[BEI],R134,323.173,0.05,0.086,EMIM__BEI,train,train
[emim]__[BEI]__R134__323.148__0.1,78,[emim],[BEI],R134,323.148,0.1,0.162,EMIM__BEI,train,val
[emim]__[BEI]__R134__323.14__0.15,79,[emim],[BEI],R134,323.14,0.15,0.232,EMIM__BEI,train,train
[emim]__[BEI]__R134__323.14__0.2,80,[emim],[BEI],R134,323.14,0.2,0.295,EMIM__BEI,train,val
[emim]__[BEI]__R134__323.132__0.25,81,[emim],[BEI],R134,323.13199999999995,0.25,0.355,EMIM__BEI,val,train
[emim]__[BEI]__R134__323.132__0.3,82,[emim],[BEI],R134,323.13199999999995,0.3,0.407,EMIM__BEI,train,train
[emim]__[BEI]__R134__323.148__0.349,83,[emim],[BEI],R134,323.148,0.349,0.46,EMIM__BEI,train,val
[emim]__[BEI]__R134__348.164__0.011,84,[emim],[BEI],R134,348.164,0.011,0.01,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.148__0.05,85,[emim],[BEI],R134,348.148,0.05,0.048,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.132__0.1,86,[emim],[BEI],R134,348.13199999999995,0.1,0.094,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.123__0.15,87,[emim],[BEI],R134,348.123,0.15,0.136,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.156__0.2,88,[emim],[BEI],R134,348.15599999999995,0.2,0.176,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.156__0.25,89,[emim],[BEI],R134,348.15599999999995,0.25,0.215,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.164__0.3,90,[emim],[BEI],R134,348.164,0.3,0.283,EMIM__BEI,train,train
[emim]__[BEI]__R134__348.14__0.35,91,[emim],[BEI],R134,348.14,0.35,0.371,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.1__0.0103,92,[emim],[BEI],R134a,283.1,0.0103,0.03,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.15__0.0504,93,[emim],[BEI],R134a,283.15,0.0504,0.1369999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.1__0.1003,94,[emim],[BEI],R134a,283.1,0.1003,0.258,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.15__0.1502,95,[emim],[BEI],R134a,283.15,0.1502,0.368,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.15__0.2001,96,[emim],[BEI],R134a,283.15,0.2001,0.473,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.1__0.2501,97,[emim],[BEI],R134a,283.1,0.2501,0.575,EMIM__BEI,val,train
[emim]__[BEI]__R134a__283.1__0.3004,98,[emim],[BEI],R134a,283.1,0.3004,0.6729999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R134a__283.1__0.3505,99,[emim],[BEI],R134a,283.1,0.3505,0.795,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.05__0.0105,100,[emim],[BEI],R134a,298.05,0.0105,0.019,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.1__0.0505,101,[emim],[BEI],R134a,298.1,0.0505,0.086,EMIM__BEI,train,val
[emim]__[BEI]__R134a__298.1__0.1005,102,[emim],[BEI],R134a,298.1,0.1005,0.1639999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.1__0.1504,103,[emim],[BEI],R134a,298.1,0.1504,0.236,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.1__0.2004,104,[emim],[BEI],R134a,298.1,0.2004,0.305,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.1__0.2503,105,[emim],[BEI],R134a,298.1,0.2503,0.37,EMIM__BEI,val,train
[emim]__[BEI]__R134a__298.1__0.3004,106,[emim],[BEI],R134a,298.1,0.3004,0.432,EMIM__BEI,train,train
[emim]__[BEI]__R134a__298.05__0.3505,107,[emim],[BEI],R134a,298.05,0.3505,0.491,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.0105,108,[emim],[BEI],R134a,323.15,0.0105,0.011,EMIM__BEI,train,val
[emim]__[BEI]__R134a__323.15__0.0505,109,[emim],[BEI],R134a,323.15,0.0505,0.046,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.1004,110,[emim],[BEI],R134a,323.15,0.1004,0.089,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.1505,111,[emim],[BEI],R134a,323.15,0.1505,0.13,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.2004,112,[emim],[BEI],R134a,323.15,0.2004,0.1689999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.2503,113,[emim],[BEI],R134a,323.15,0.2503,0.207,EMIM__BEI,train,val
[emim]__[BEI]__R134a__323.15__0.3003,114,[emim],[BEI],R134a,323.15,0.3003,0.243,EMIM__BEI,train,train
[emim]__[BEI]__R134a__323.15__0.3504,115,[emim],[BEI],R134a,323.15,0.3504,0.278,EMIM__BEI,val,train
[emim]__[BEI]__R134a__348.1__0.0104,116,[emim],[BEI],R134a,348.1,0.0104,0.006,EMIM__BEI,train,val
[emim]__[BEI]__R134a__348.1__0.0506,117,[emim],[BEI],R134a,348.1,0.0506,0.027,EMIM__BEI,train,train
[emim]__[BEI]__R134a__348.1__0.1004,118,[emim],[BEI],R134a,348.1,0.1004,0.053,EMIM__BEI,train,train
[emim]__[BEI]__R134a__348.1__0.1504,119,[emim],[BEI],R134a,348.1,0.1504,0.079,EMIM__BEI,train,val
[emim]__[BEI]__R134a__348.1__0.2004,120,[emim],[BEI],R134a,348.1,0.2004,0.103,EMIM__BEI,train,train
[emim]__[BEI]__R134a__348.05__0.2496,121,[emim],[BEI],R134a,348.05,0.2496,0.126,EMIM__BEI,train,train
[emim]__[BEI]__R134a__348.1__0.3005,122,[emim],[BEI],R134a,348.1,0.3005,0.149,EMIM__BEI,train,train
[emim]__[BEI]__R134a__348.05__0.3503,123,[emim],[BEI],R134a,348.05,0.3503,0.171,EMIM__BEI,train,train
[emim]__[BF4]__R32__283.15__0.0379,124,[emim],[BF4],R32,283.15,0.0379,0.026,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.251,125,[emim],[BF4],R32,283.15,0.251,0.1837,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.3993,126,[emim],[BF4],R32,283.15,0.3993,0.2869,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.5031,127,[emim],[BF4],R32,283.15,0.5031,0.3573,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.5883,128,[emim],[BF4],R32,283.15,0.5883,0.4155,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.6549,129,[emim],[BF4],R32,283.15,0.6549,0.46,EMIM__BF4,test,train
[emim]__[BF4]__R32__283.15__0.7079,130,[emim],[BF4],R32,283.15,0.7079,0.4962,EMIM__BF4,test,val
[emim]__[BF4]__R32__283.15__0.7509,131,[emim],[BF4],R32,283.15,0.7509,0.5245,EMIM__BF4,test,val
[emim]__[BF4]__R32__293.15__0.0369,132,[emim],[BF4],R32,293.15,0.0369,0.0212,EMIM__BF4,test,train
[emim]__[BF4]__R32__293.15__0.1769,133,[emim],[BF4],R32,293.15,0.1769,0.1012,EMIM__BF4,test,train
[emim]__[BF4]__R32__293.15__0.377,134,[emim],[BF4],R32,293.15,0.377,0.2099,EMIM__BF4,test,train
[emim]__[BF4]__R32__293.15__0.5156,135,[emim],[BF4],R32,293.15,0.5156,0.2817,EMIM__BF4,test,val
[emim]__[BF4]__R32__293.15__0.6391,136,[emim],[BF4],R32,293.15,0.6391,0.3443,EMIM__BF4,test,train
[emim]__[BF4]__R32__293.15__0.7524,137,[emim],[BF4],R32,293.15,0.7524,0.3993,EMIM__BF4,test,train
[emim]__[BF4]__R32__293.15__0.8753,138,[emim],[BF4],R32,293.15,0.8753,0.4582,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.0459,139,[emim],[BF4],R32,303.15,0.0459,0.0164,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.2353,140,[emim],[BF4],R32,303.15,0.2353,0.0961,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.45,141,[emim],[BF4],R32,303.15,0.45,0.1831,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.6267,142,[emim],[BF4],R32,303.15,0.6267,0.2499,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.7504,143,[emim],[BF4],R32,303.15,0.7504,0.295,EMIM__BF4,test,train
[emim]__[BF4]__R32__303.15__0.8305,144,[emim],[BF4],R32,303.15,0.8305,0.3262,EMIM__BF4,test,train
[emim]__[BF4]__R32__313.15__0.0482,145,[emim],[BF4],R32,313.15,0.0482,0.0132,EMIM__BF4,test,train
[emim]__[BF4]__R32__313.15__0.1367,146,[emim],[BF4],R32,313.15,0.1367,0.0409,EMIM__BF4,test,train
[emim]__[BF4]__R32__313.15__0.2502,147,[emim],[BF4],R32,313.15,0.2502,0.0767,EMIM__BF4,test,val
[emim]__[BF4]__R32__313.15__0.4126,148,[emim],[BF4],R32,313.15,0.4126,0.1262,EMIM__BF4,test,train
[emim]__[BF4]__R32__313.15__0.6648,149,[emim],[BF4],R32,313.15,0.6648,0.1972,EMIM__BF4,test,train
[emim]__[BF4]__R32__313.15__0.8307,150,[emim],[BF4],R32,313.15,0.8307,0.2423,EMIM__BF4,test,train
[emim]__[BF4]__R32__323.15__0.0552,151,[emim],[BF4],R32,323.15,0.0552,0.014,EMIM__BF4,test,train
[emim]__[BF4]__R32__323.15__0.2468,152,[emim],[BF4],R32,323.15,0.2468,0.0617,EMIM__BF4,test,train
[emim]__[BF4]__R32__323.15__0.4939,153,[emim],[BF4],R32,323.15,0.4939,0.1162,EMIM__BF4,test,train
[emim]__[BF4]__R32__323.15__0.6768,154,[emim],[BF4],R32,323.15,0.6768,0.1551,EMIM__BF4,test,train
[emim]__[BF4]__R32__323.15__0.8639,155,[emim],[BF4],R32,323.15,0.8639,0.1926,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.0374,156,[emim],[BF4],R134a,283.15,0.0374,0.0213,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.1261,157,[emim],[BF4],R134a,283.15,0.1261,0.0888,EMIM__BF4,test,val
[emim]__[BF4]__R134a__283.15__0.1994,158,[emim],[BF4],R134a,283.15,0.1994,0.1538,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.2517,159,[emim],[BF4],R134a,283.15,0.2517,0.2073,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.2899,160,[emim],[BF4],R134a,283.15,0.2899,0.2519,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.3182,161,[emim],[BF4],R134a,283.15,0.3182,0.2885,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.34,162,[emim],[BF4],R134a,283.15,0.34,0.3204,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.3567,163,[emim],[BF4],R134a,283.15,0.3567,0.3473,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.3697,164,[emim],[BF4],R134a,283.15,0.3697,0.3713,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.3806,165,[emim],[BF4],R134a,283.15,0.3806,0.3915,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.389,166,[emim],[BF4],R134a,283.15,0.389,0.4096,EMIM__BF4,test,train
[emim]__[BF4]__R134a__283.15__0.3956,167,[emim],[BF4],R134a,283.15,0.3956,0.4266,EMIM__BF4,test,train
[emim]__[BF4]__R134a__293.15__0.043,168,[emim],[BF4],R134a,293.15,0.043,0.0185,EMIM__BF4,test,val
[emim]__[BF4]__R134a__293.15__0.1511,169,[emim],[BF4],R134a,293.15,0.1511,0.0761,EMIM__BF4,test,train
[emim]__[BF4]__R134a__293.15__0.2439,170,[emim],[BF4],R134a,293.15,0.2439,0.1323,EMIM__BF4,test,train
[emim]__[BF4]__R134a__293.15__0.3083,171,[emim],[BF4],R134a,293.15,0.3083,0.175,EMIM__BF4,test,train
[emim]__[BF4]__R134a__293.15__0.3525,172,[emim],[BF4],R134a,293.15,0.3525,0.2076,EMIM__BF4,test,train
[emim]__[BF4]__R134a__293.15__0.3866,173,[emim],[BF4],R134a,293.15,0.3866,0.2352,EMIM__BF4,test,train
[emim]__[BF4]__R134a__303.15__0.0473,174,[emim],[BF4],R134a,303.15,0.0473,0.0168,EMIM__BF4,test,train
[emim]__[BF4]__R134a__303.15__0.1574,175,[emim],[BF4],R134a,303.15,0.1574,0.0583,EMIM__BF4,test,train
[emim]__[BF4]__R134a__303.15__0.2685,176,[emim],[BF4],R134a,303.15,0.2685,0.1029,EMIM__BF4,test,train
[emim]__[BF4]__R134a__303.15__0.3402,177,[emim],[BF4],R134a,303.15,0.3402,0.1343,EMIM__BF4,test,train
[emim]__[BF4]__R134a__303.15__0.3952,178,[emim],[BF4],R134a,303.15,0.3952,0.1607,EMIM__BF4,test,val
[emim]__[BF4]__R134a__303.15__0.4335,179,[emim],[BF4],R134a,303.15,0.4335,0.1788,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.052,180,[emim],[BF4],R134a,313.15,0.052,0.0127,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.18,181,[emim],[BF4],R134a,313.15,0.18,0.0462,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.2905,182,[emim],[BF4],R134a,313.15,0.2905,0.077,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.3639,183,[emim],[BF4],R134a,313.15,0.3639,0.0988,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.4161,184,[emim],[BF4],R134a,313.15,0.4161,0.1139,EMIM__BF4,test,train
[emim]__[BF4]__R134a__313.15__0.4496,185,[emim],[BF4],R134a,313.15,0.4496,0.1245,EMIM__BF4,test,train
[emim]__[BF4]__R134a__323.15__0.052,186,[emim],[BF4],R134a,323.15,0.052,0.0104,EMIM__BF4,test,val
[emim]__[BF4]__R134a__323.15__0.1856,187,[emim],[BF4],R134a,323.15,0.1856,0.0361,EMIM__BF4,test,train
[emim]__[BF4]__R134a__323.15__0.3257,188,[emim],[BF4],R134a,323.15,0.3257,0.0634,EMIM__BF4,test,train
[emim]__[BF4]__R134a__323.15__0.4084,189,[emim],[BF4],R134a,323.15,0.4084,0.0805,EMIM__BF4,test,train
[emim]__[BF4]__R134a__323.15__0.459,190,[emim],[BF4],R134a,323.15,0.459,0.0918,EMIM__BF4,test,train
[emim]__[BF4]__R134a__323.15__0.4946,191,[emim],[BF4],R134a,323.15,0.4946,0.0986,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.646,192,[emim],[BF4],R125,313.15,0.646,0.0773,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.59,193,[emim],[BF4],R125,313.15,0.5900000000000001,0.0761,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.538,194,[emim],[BF4],R125,313.15,0.538,0.0721,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.468,195,[emim],[BF4],R125,313.15,0.4679999999999999,0.0624,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.41,196,[emim],[BF4],R125,313.15,0.41,0.057,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.33,197,[emim],[BF4],R125,313.15,0.3299999999999999,0.0459,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.229,198,[emim],[BF4],R125,313.15,0.229,0.0335,EMIM__BF4,test,train
[emim]__[BF4]__R125__313.15__0.133,199,[emim],[BF4],R125,313.15,0.133,0.0223,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.75,200,[emim],[BF4],R125,333.15,0.75,0.0565,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.637,201,[emim],[BF4],R125,333.15,0.637,0.0512,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.586,202,[emim],[BF4],R125,333.15,0.5860000000000001,0.0465,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.516,203,[emim],[BF4],R125,333.15,0.516,0.0421,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.392,204,[emim],[BF4],R125,333.15,0.392,0.0347,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.293,205,[emim],[BF4],R125,333.15,0.293,0.0279,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.18,206,[emim],[BF4],R125,333.15,0.18,0.0188,EMIM__BF4,test,train
[emim]__[BF4]__R125__333.15__0.096,207,[emim],[BF4],R125,333.15,0.096,0.0124,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.835,208,[emim],[BF4],R125,353.15,0.835,0.0469,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.739,209,[emim],[BF4],R125,353.15,0.739,0.0413,EMIM__BF4,test,val
[emim]__[BF4]__R125__353.15__0.603,210,[emim],[BF4],R125,353.15,0.603,0.038,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.536,211,[emim],[BF4],R125,353.15,0.536,0.0321,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.439,212,[emim],[BF4],R125,353.15,0.4389999999999999,0.0277,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.345,213,[emim],[BF4],R125,353.15,0.345,0.0224,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.21,214,[emim],[BF4],R125,353.15,0.21,0.0156,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.132,215,[emim],[BF4],R125,353.15,0.132,0.0105,EMIM__BF4,test,train
[emim]__[BF4]__R125__353.15__0.072,216,[emim],[BF4],R125,353.15,0.072,0.0076,EMIM__BF4,test,train
