case_id,sample_id,split_axis,split_role,model_dir,mode,seed,refrigerant,cation,anion,T_K,P_MPa,x1,pair_match_id,selection_reason,data_source_idx,is_hfo,cation_smiles,anion_smiles,refri_smiles
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134,[emim],[BEI],283.149,0.15,0.584,Pair_C2_04_[emim][BEI],Matched isomer pair Pair_C2_04_[emim][BEI] (R134 arm),64,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,FC(F)C(F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134a,[emim],[BEI],283.15,0.1502,0.368,Pair_C2_04_[emim][BEI],Matched isomer pair Pair_C2_04_[emim][BEI] (R134a arm),95,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C(F)(F)F)F
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[BF4],283.1,0.01,0.009,Pair_C3_01_[bmim]_R32,Strict B2 test matched pair (BF4 arm),802,False,C(CCC)[N+]1=CN(C=C1)C,F[B-](F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[PF6],283.2,0.0098,0.026,Pair_C3_01_[bmim]_R32,Strict B2 test matched pair (PF6 arm),987,False,C(CCC)[N+]1=CN(C=C1)C,F[P-](F)(F)(F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[BF4],283.1,0.0998,0.099,Pair_C3_02_[bmim]_R32,Strict B2 test matched pair (BF4 arm),803,False,C(CCC)[N+]1=CN(C=C1)C,F[B-](F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[PF6],283.2,0.0996,0.106,Pair_C3_02_[bmim]_R32,Strict B2 test matched pair (PF6 arm),988,False,C(CCC)[N+]1=CN(C=C1)C,F[P-](F)(F)(F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[BF4],283.2,0.2499,0.241,Pair_C3_03_[bmim]_R32,Strict B2 test matched pair (BF4 arm),804,False,C(CCC)[N+]1=CN(C=C1)C,F[B-](F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[PF6],283.2,0.2497,0.271,Pair_C3_03_[bmim]_R32,Strict B2 test matched pair (PF6 arm),989,False,C(CCC)[N+]1=CN(C=C1)C,F[P-](F)(F)(F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[BF4],283.2,0.3995,0.374,Pair_C3_04_[bmim]_R32,Strict B2 test matched pair (BF4 arm),805,False,C(CCC)[N+]1=CN(C=C1)C,F[B-](F)(F)F,C(F)F
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,B2,test,results_split_B/B2_M0,M0,"42,43,44,45,46",R32,[bmim],[PF6],283.2,0.3996,0.428,Pair_C3_04_[bmim]_R32,Strict B2 test matched pair (PF6 arm),990,False,C(CCC)[N+]1=CN(C=C1)C,F[P-](F)(F)(F)(F)F,C(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,293.1,0.194,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2961,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,293.1,0.223,0.173,Unpaired_E,Official HFO zero-shot E-isomer probe point,2962,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,303.0,0.228,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2963,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,303.0,0.293,0.173,Unpaired_E,Official HFO zero-shot E-isomer probe point,2964,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,322.5,0.336,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2965,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,322.5,0.488,0.173,Unpaired_E,Official HFO zero-shot E-isomer probe point,2966,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,332.9,0.381,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2967,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,332.9,0.623,0.173,Unpaired_E,Official HFO zero-shot E-isomer probe point,2968,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,342.9,0.453,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2969,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,342.9,0.8,0.173,Unpaired_E,Official HFO zero-shot E-isomer probe point,2970,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(E),EMIM,TF2N,352.8,0.511,0.093,Unpaired_E,Official HFO zero-shot E-isomer probe point,2971,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C/C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,293.1,0.05,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2972,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,293.1,0.06,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2973,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,303.0,0.07,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2974,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,303.0,0.09,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2975,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,322.5,0.13,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2976,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,322.5,0.17,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2977,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,332.9,0.18,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2978,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,332.9,0.24,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2979,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,342.9,0.24,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2980,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,342.9,0.31,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2981,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,352.8,0.31,0.28,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2982,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1336mzz(Z),EMIM,TF2N,352.8,0.41,0.589,Z_Isomer_Reference,Official HFO zero-shot Z-isomer probe point,2983,True,C(C)[N+]1=CN(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,FC(F)(F)/C=C\C(F)(F)F
