sample_id,dataset,split,mode,cation,anion,species,species_type,refrigerant,T_K,P_MPa,true_x1,pred_mu,pred_sigma,abs_error
[emim]__[OTf]__R32__298.15__0.2522,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.2522,0.1481000036001205,0.1601573884487152,0.0028824131002882403,0.012057384848594699
[emim]__[OTf]__R32__298.15__0.3015,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.3015,0.1678999960422516,0.19241153597831723,0.0031558689841466353,0.02451153993606564
[emim]__[OTf]__R32__298.15__0.4404,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.4404,0.2469000071287155,0.27535295486450195,0.004932602710449251,0.028452947735786466
[emim]__[OTf]__R152a__273.22__0.04,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,273.22,0.04,0.0489999987185001,0.17580542564392085,0.011169768548079963,0.12680542692542074
[emim]__[OTf]__R152a__273.24__0.074,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,273.24,0.074,0.1080000028014183,0.23630391359329223,0.011003069919143413,0.12830391079187392
[emim]__[OTf]__R152a__273.25__0.157,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,273.25,0.157,0.2689999938011169,0.3936509847640991,0.015846304485056667,0.12465099096298221
[emim]__[OTf]__R152a__273.16__0.198,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,273.16,0.198,0.3759999871253967,0.46809837222099304,0.016299668134802985,0.09209838509559637
[emim]__[OTf]__R152a__298.15__0.096,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,298.15,0.096,0.0659999996423721,0.10758285522460934,0.005214887075062364,0.04158285558223723
[emim]__[OTf]__R152a__298.15__0.173,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,298.15,0.173,0.135000005364418,0.19192338883876797,0.006376593708467559,0.05692338347434997
[emim]__[OTf]__R152a__298.15__0.279,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,298.15,0.279,0.2549999952316284,0.32549464106559756,0.004051989785784417,0.07049464583396914
[emim]__[OTf]__R152a__298.14__0.386,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,298.14,0.386,0.3689999878406524,0.42895198464393614,0.005396360680415415,0.059951996803283725
[emim]__[OTf]__R152a__298.15__0.454,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,298.15,0.454,0.4519999921321869,0.47938048243522646,0.009926482520331964,0.027380490303039573
[emim]__[OTf]__R152a__323.14__0.116,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.14,0.116,0.0610000006854534,0.06332204118371007,0.0038247726869016104,0.0023220404982566695
[emim]__[OTf]__R152a__323.13__0.24,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.13,0.24,0.1430000066757202,0.12486359626054759,0.00701374298384321,0.018136410415172596
[emim]__[OTf]__R152a__323.15__0.314,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.15,0.314,0.1940000057220459,0.16666274368762965,0.009677313367198025,0.02733726203441625
[emim]__[OTf]__R152a__323.14__0.368,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.14,0.368,0.2259999960660934,0.1979668706655502,0.011224610194909394,0.028033125400543202
[emim]__[OTf]__R152a__323.16__0.447,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.16,0.447,0.2820000052452087,0.24092285633087157,0.011306287889476031,0.041077148914337114
[emim]__[OTf]__R152a__323.2__0.528,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.2,0.528,0.3319999873638153,0.2814472854137421,0.013057950539070676,0.05055270195007322
[emim]__[OTf]__R152a__323.14__0.756,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,323.14,0.756,0.4729999899864197,0.37349345684051516,0.008401267410822718,0.09950653314590452
[emim]__[OTf]__R152a__348.15__0.111,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.15,0.111,0.0480000004172325,0.042992441356182055,0.003892084824627766,0.005007559061050444
[emim]__[OTf]__R152a__348.14__0.204,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.14,0.204,0.0879999995231628,0.06787318214774125,0.003573926709631045,0.020126817375421546
[emim]__[OTf]__R152a__348.17__0.308,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.17,0.308,0.1400000005960464,0.09776233434677122,0.006023472915661355,0.04223766624927518
[emim]__[OTf]__R152a__348.17__0.423,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.17,0.423,0.202000007033348,0.13054029196500774,0.01104517137601895,0.07145971506834026
[emim]__[OTf]__R152a__348.16__0.519,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.16,0.519,0.2590000033378601,0.15940830111503598,0.015025101164033706,0.09959170222282412
[emim]__[OTf]__R152a__348.16__0.645,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.16,0.645,0.324999988079071,0.1973151564598083,0.017958236607680495,0.1276848316192627
[emim]__[OTf]__R152a__348.16__0.741,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.16,0.741,0.3709999918937683,0.22534774839878077,0.01736606932914065,0.14565224349498754
[emim]__[OTf]__R152a__348.16__0.848,Split_B,B1,M0,emim,OTf,OTF,anion,R152A,348.16,0.848,0.4289999902248382,0.25468522012233735,0.014980842918788848,0.17431477010250085
[emim]__[OTf]__R134a__303.15__0.046,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.046,0.0368999987840652,0.026325126737356142,0.012959474273653793,0.010574872046709056
[emim]__[OTf]__R134a__303.15__0.0852,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.0852,0.0566000007092952,0.04498070292174812,0.014052071477437852,0.011619297787547084
[emim]__[OTf]__R134a__303.15__0.1498,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.1498,0.1067000031471252,0.08182007074356075,0.01696437694155606,0.024879932403564453
[emim]__[OTf]__R134a__303.15__0.2079,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.2079,0.1407999992370605,0.11879736036062238,0.018882201561314996,0.022002638876438108
[emim]__[OTf]__R134a__303.15__0.2548,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.2548,0.179199993610382,0.15353379845619197,0.019194852942090213,0.025666195154190025
[emim]__[OTf]__R134a__303.15__0.3089,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.3089,0.2101999968290329,0.1942393273115158,0.015506076075782365,0.015960669517517095
[emim]__[OTf]__R134a__303.15__0.3468,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.3468,0.24269999563694,0.22041783332824708,0.01226547059005418,0.022282162308692927
[emim]__[OTf]__R134a__303.15__0.404,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.404,0.277999997138977,0.2555906504392623,0.010462094886012392,0.022409346699714672
[emim]__[OTf]__R134a__303.15__0.4493,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.4493,0.3167000114917755,0.280194616317749,0.009694526059655999,0.03650539517402651
[emim]__[OTf]__R134a__303.15__0.4994,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.4994,0.3517999947071075,0.3056607365608215,0.010437561474279712,0.046139258146286
[emim]__[OTf]__R134a__283.15__0.0308,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.0308,0.0381000004708766,0.03607891276478763,0.011360139660600755,0.00202108770608897
[emim]__[OTf]__R134a__283.15__0.0902,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.0902,0.1150999963283538,0.09045034050941465,0.012985606337791278,0.024649655818939145
[emim]__[OTf]__R134a__283.15__0.1639,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.1639,0.2133000046014785,0.18342467844486232,0.018363435891356982,0.029875326156616172
[emim]__[OTf]__R134a__283.15__0.2149,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.2149,0.2842000126838684,0.25478285551071167,0.019878716912693856,0.02941715717315674
[emim]__[OTf]__R134a__283.15__0.2522,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.2522,0.3391999900341034,0.3033643960952759,0.019959105858056332,0.035835593938827515
[emim]__[OTf]__R134a__283.15__0.2804,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.2804,0.3833000063896179,0.335891193151474,0.019743573108377478,0.04740881323814394
[emim]__[OTf]__R134a__283.15__0.3027,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,283.15,0.3027,0.4208000004291534,0.35856459736824037,0.018986794802743852,0.06223540306091302
[emim]__[OTf]__R134a__293.15__0.0347,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.0347,0.0297999996691942,0.026071615517139386,0.013255940907408108,0.0037283841520548144
[emim]__[OTf]__R134a__293.15__0.1018,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.1018,0.090999998152256,0.0707688950002193,0.015593894524913181,0.020231103152036703
[emim]__[OTf]__R134a__293.15__0.1921,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.1921,0.1747000068426132,0.15308156609535212,0.018282770564433875,0.021618440747261075
[emim]__[OTf]__R134a__293.15__0.2557,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.2557,0.2353000044822693,0.22156965136528012,0.016522337739098898,0.013730353116989169
[emim]__[OTf]__R134a__293.15__0.3029,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.3029,0.2818000018596649,0.26879412233829497,0.014336788677797863,0.013005879521369945
[emim]__[OTf]__R134a__293.15__0.3369,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.3369,0.3176000118255615,0.29839882254600525,0.011689261192846228,0.019201189279556274
[emim]__[OTf]__R134a__293.15__0.3653,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,293.15,0.3653,0.3483000099658966,0.3200479388237,0.01059783391676413,0.028252071142196633
[emim]__[OTf]__R134a__303.15__0.0396,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.0396,0.0255999993532896,0.023584448546171137,0.012786011121137413,0.0020155508071184637
[emim]__[OTf]__R134a__303.15__0.1109,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.1109,0.0719999969005584,0.05901343896985052,0.014775799923220274,0.012986557930707882
[emim]__[OTf]__R134a__303.15__0.2178,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.2178,0.1403000056743621,0.12584544569253917,0.01906968905871474,0.014454559981822934
[emim]__[OTf]__R134a__303.15__0.2922,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.2922,0.1890999972820282,0.18214216828346247,0.017061247593451807,0.006957828998565729
[emim]__[OTf]__R134a__303.15__0.3457,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.3457,0.2254000008106231,0.21968224346637721,0.012341663454236233,0.0057177573442458995
[emim]__[OTf]__R134a__303.15__0.3828,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,303.15,0.3828,0.2513000071048736,0.2431775689125061,0.011052622287251955,0.008122438192367493
[emim]__[OTf]__R134a__313.15__0.0422,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.0422,0.0193000007420778,0.02029110789299008,0.010907528840013038,0.0009911071509122807
[emim]__[OTf]__R134a__313.15__0.1247,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.1247,0.0573999993503093,0.05154644101858134,0.013452966856458477,0.005853558331727959
[emim]__[OTf]__R134a__313.15__0.2396,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.2396,0.1096000000834465,0.10101533979177472,0.017742865518301804,0.008584660291671778
[emim]__[OTf]__R134a__313.15__0.3137,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.3137,0.1439999938011169,0.13982662856578823,0.016083194128066674,0.004173365235328658
[emim]__[OTf]__R134a__313.15__0.3674,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.3674,0.1691000014543533,0.16492563486099243,0.014077373009560279,0.004174366593360873
[emim]__[OTf]__R134a__313.15__0.4049,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,313.15,0.4049,0.1869000047445297,0.1808181434869766,0.013199648621007755,0.006081861257553084
[emim]__[OTf]__R134a__323.15__0.0513,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,323.15,0.0513,0.0185000002384185,0.01885053217411036,0.009756013766700593,0.00035053193569186195
[emim]__[OTf]__R134a__323.15__0.1392,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,323.15,0.1392,0.050000000745058,0.04438678883016106,0.012607791739407783,0.005613211914896936
[emim]__[OTf]__R134a__323.15__0.2662,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,323.15,0.2662,0.094200000166893,0.08516613841056818,0.016258051306514112,0.009033861756324826
[emim]__[OTf]__R134a__323.15__0.3583,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,323.15,0.3583,0.1256999969482422,0.1181972742080688,0.013215691391375907,0.007502722740173384
[emim]__[OTf]__R134a__323.15__0.4216,Split_B,B1,M0,emim,OTf,OTF,anion,R134A,323.15,0.4216,0.147499993443489,0.13598493039608,0.01244072996520154,0.011515063047408985
[emim]__[OTf]__R125__303.15__0.0245,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.0245,0.006800000090152,0.00882818512618538,0.006097872589878531,0.0020281850360333803
[emim]__[OTf]__R125__303.15__0.0792,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.0792,0.0210999995470047,0.025692688673734598,0.01124473719830552,0.004592689126729898
[emim]__[OTf]__R125__303.15__0.1503,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.1503,0.0434000007808208,0.04814413413405412,0.012908047116184259,0.004744133353233322
[emim]__[OTf]__R125__303.15__0.2262,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.2262,0.0639000013470649,0.06935759484767912,0.01219718318180577,0.0054575935006142134
[emim]__[OTf]__R125__303.15__0.3126,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.3126,0.0938000008463859,0.09266282171010969,0.012756039882927223,0.0011371791362762146
[emim]__[OTf]__R125__303.15__0.4432,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.4432,0.1370999962091446,0.1278381541371345,0.015165770749155722,0.009261842072010085
[emim]__[OTf]__R125__303.15__0.5087,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.5087,0.1579000055789947,0.14748789817094796,0.016720647222517582,0.010412107408046739
[emim]__[OTf]__R125__303.15__0.6173,Split_B,B1,M0,emim,OTf,OTF,anion,R125,303.15,0.6173,0.1904000043869018,0.18845068514347071,0.018336863589485396,0.0019493192434310858
[emim]__[PFBS]__R32__303.15__0.0283,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.0283,0.0243999995291233,0.027548430114984458,0.009052178257870256,0.003148430585861159
[emim]__[PFBS]__R32__303.15__0.053,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.053,0.0478000007569789,0.04173016659915442,0.00918291595022097,0.006069834157824479
[emim]__[PFBS]__R32__303.15__0.093,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.093,0.0737000033259391,0.06772176548838607,0.008593941536748986,0.005978237837553024
[emim]__[PFBS]__R32__303.15__0.1598,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.1598,0.1246000006794929,0.11964416503906243,0.008964951829444491,0.004955835640430464
[emim]__[PFBS]__R32__303.15__0.2071,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.2071,0.1532000005245208,0.15839657187461847,0.008662088248054913,0.005196571350097684
[emim]__[PFBS]__R32__303.15__0.2709,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.2709,0.1983000040054321,0.2105301678180694,0.007415648196347479,0.012230163812637307
[emim]__[PFBS]__R32__303.15__0.3246,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.3246,0.2307000011205673,0.2497134447097778,0.005308325161515395,0.019013443589210505
[emim]__[PFBS]__R32__303.15__0.3733,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.3733,0.2606000006198883,0.2821597337722778,0.006464844861286652,0.021559733152389515
[emim]__[PFBS]__R32__303.15__0.431,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.431,0.2910000085830688,0.31865851283073426,0.007870938123406543,0.027658504247665472
[emim]__[PFBS]__R32__303.15__0.447,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.447,0.3000000119209289,0.32840625047683714,0.008435821323422852,0.028406238555908236
[emim]__[PFBS]__R32__303.15__0.5025,Split_B,B1,M0,emim,PFBS,PFBS,anion,R32,303.15,0.5025,0.3276000022888183,0.3625547468662262,0.010651736684479952,0.03495474457740788
[emim]__[PFBS]__R134a__303.15__0.0155,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.0155,0.0271000005304813,0.03766470029950138,0.016598623175656444,0.010564699769020077
[emim]__[PFBS]__R134a__303.15__0.0498,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.0498,0.0546999983489513,0.06324634253978725,0.01590946815627594,0.008546344190835956
[emim]__[PFBS]__R134a__303.15__0.0599,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.0599,0.0789000019431114,0.07197766825556749,0.01598240310072261,0.006922333687543913
[emim]__[PFBS]__R134a__303.15__0.0968,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.0968,0.0966999977827072,0.10812264829874037,0.015747096041235784,0.011422650516033167
[emim]__[PFBS]__R134a__303.15__0.1319,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.1319,0.1539999991655349,0.14820388257503506,0.01624522424346618,0.0057961165904998335
[emim]__[PFBS]__R134a__303.15__0.1921,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.1921,0.2137999981641769,0.22030438482761378,0.014410825026906568,0.006504386663436862
[emim]__[PFBS]__R134a__303.15__0.2221,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.2221,0.2478999942541122,0.2580313622951507,0.012649059587658515,0.010131368041038535
[emim]__[PFBS]__R134a__303.15__0.2697,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.2697,0.287200003862381,0.3163590431213379,0.010709593402239951,0.02915903925895691
[emim]__[PFBS]__R134a__303.15__0.3134,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.3134,0.3289999961853027,0.3632281243801117,0.009150975253869266,0.03422812819480903
[emim]__[PFBS]__R134a__303.15__0.3509,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.3509,0.3587999939918518,0.3971802890300751,0.007396692564469311,0.03838029503822327
[emim]__[PFBS]__R134a__303.15__0.4466,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.4466,0.4422000050544739,0.4640821874141693,0.007339823450550745,0.021882182359695412
[emim]__[PFBS]__R134a__303.15__0.4928,Split_B,B1,M0,emim,PFBS,PFBS,anion,R134A,303.15,0.4928,0.4790999889373779,0.4901837170124054,0.00963765036961817,0.011083728075027499
[emim]__[PFBS]__R125__303.15__0.0266,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.0266,0.0284000001847744,0.02819798514246936,0.009398964439654394,0.00020201504230503778
[emim]__[PFBS]__R125__303.15__0.063,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.063,0.0419999994337558,0.049132314324378944,0.00969795680114139,0.007132314890623145
[emim]__[PFBS]__R125__303.15__0.0907,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.0907,0.0727000012993812,0.06668092012405388,0.00993834783519852,0.006019081175327318
[emim]__[PFBS]__R125__303.15__0.1576,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.1576,0.1110000014305114,0.11007690578699107,0.010702120212083522,0.000923095643520333
[emim]__[PFBS]__R125__303.15__0.2241,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.2241,0.1606000065803527,0.1497080445289612,0.010874292109029762,0.010891962051391507
[emim]__[PFBS]__R125__303.15__0.2715,Split_B,B1,M0,emim,PFBS,PFBS,anion,R125,303.15,0.2715,0.189300000667572,0.17803744375705716,0.01099286452747747,0.011262556910514837
